total_bill,tip,sex,smoker,day,time,size,billdate,ID
16.99,1.01,Female,No,Sun,Dinner,2,2022-01-01,1
10.34,1.66,Male,No,Sun,Dinner,3,2022-01-02,2
21.01,3.5,Male,No,Sun,Dinner,3,2022-01-03,3
23.68,3.31,Male,No,Sun,Dinner,2,2022-01-04,4
24.59,3.61,Female,No,Sun,Dinner,4,2022-01-05,5
25.29,4.71,Male,No,Sun,Dinner,4,2022-01-06,6
8.77,2,Male,No,Sun,Dinner,2,2022-01-07,7
26.88,3.12,Male,No,Sun,Dinner,4,2022-01-08,8
15.04,1.96,Male,No,Sun,Dinner,2,2022-01-09,9
14.78,3.23,Male,No,Sun,Dinner,2,2022-01-10,10
10.27,1.71,Male,No,Sun,Dinner,2,2022-01-11,11
35.26,5,Female,No,Sun,Dinner,4,2022-01-12,12
15.42,1.57,Male,No,Sun,Dinner,2,2022-01-13,13
18.43,3,Male,No,Sun,Dinner,4,2022-01-14,14
14.83,3.02,Female,No,Sun,Dinner,2,2022-01-15,15
21.58,3.92,Male,No,Sun,Dinner,2,2022-01-16,16
10.33,1.67,Female,No,Sun,Dinner,3,2022-01-17,17
16.29,3.71,Male,No,Sun,Dinner,3,2022-01-18,18
16.97,3.5,Female,No,Sun,Dinner,3,2022-01-19,19
20.65,3.35,Male,No,Sat,Dinner,3,2022-01-20,20
17.92,4.08,Male,No,Sat,Dinner,2,2022-01-21,21
20.29,2.75,Female,No,Sat,Dinner,2,2022-01-22,22
15.77,2.23,Female,No,Sat,Dinner,2,2022-01-23,23
39.42,7.58,Male,No,Sat,Dinner,4,2022-01-24,24
19.82,3.18,Male,No,Sat,Dinner,2,2022-01-25,25
17.81,2.34,Male,No,Sat,Dinner,4,2022-01-26,26
13.37,2,Male,No,Sat,Dinner,2,2022-01-27,27
12.69,2,Male,No,Sat,Dinner,2,2022-01-28,28
21.7,4.3,Male,No,Sat,Dinner,2,2022-01-29,29
19.65,3,Female,No,Sat,Dinner,2,2022-01-30,30
9.55,1.45,Male,No,Sat,Dinner,2,2022-01-31,31
18.35,2.5,Male,No,Sat,Dinner,4,2022-02-01,32
15.06,3,Female,No,Sat,Dinner,2,2022-02-02,33
20.69,2.45,Female,No,Sat,Dinner,4,2022-02-03,34
17.78,3.27,Male,No,Sat,Dinner,2,2022-02-04,35
24.06,3.6,Male,No,Sat,Dinner,3,2022-02-05,36
16.31,2,Male,No,Sat,Dinner,3,2022-02-06,37
16.93,3.07,Female,No,Sat,Dinner,3,2022-02-07,38
18.69,2.31,Male,No,Sat,Dinner,3,2022-02-08,39
31.27,5,Male,No,Sat,Dinner,3,2022-02-09,40
16.04,2.24,Male,No,Sat,Dinner,3,2022-02-10,41
17.46,2.54,Male,No,Sun,Dinner,2,2022-02-11,42
13.94,3.06,Male,No,Sun,Dinner,2,2022-02-12,43
9.68,1.32,Male,No,Sun,Dinner,2,2022-02-13,44
30.4,5.6,Male,No,Sun,Dinner,4,2022-02-14,45
18.29,3,Male,No,Sun,Dinner,2,2022-02-15,46
22.23,5,Male,No,Sun,Dinner,2,2022-02-16,47
32.4,6,Male,No,Sun,Dinner,4,2022-02-17,48
28.55,2.05,Male,No,Sun,Dinner,3,2022-02-18,49
18.04,3,Male,No,Sun,Dinner,2,2022-02-19,50
12.54,2.5,Male,No,Sun,Dinner,2,2022-02-20,51
10.29,2.6,Female,No,Sun,Dinner,2,2022-02-21,52
34.81,5.2,Female,No,Sun,Dinner,4,2022-02-22,53
9.94,1.56,Male,No,Sun,Dinner,2,2022-02-23,54
25.56,4.34,Male,No,Sun,Dinner,4,2022-02-24,55
19.49,3.51,Male,No,Sun,Dinner,2,2022-02-25,56
38.01,3,Male,Yes,Sat,Dinner,4,2022-02-26,57
26.41,1.5,Female,No,Sat,Dinner,2,2022-02-27,58
11.24,1.76,Male,Yes,Sat,Dinner,2,2022-02-28,59
48.27,6.73,Male,No,Sat,Dinner,4,2022-03-01,60
20.29,3.21,Male,Yes,Sat,Dinner,2,2022-03-02,61
13.81,2,Male,Yes,Sat,Dinner,2,2022-03-03,62
11.02,1.98,Male,Yes,Sat,Dinner,2,2022-03-04,63
18.29,3.76,Male,Yes,Sat,Dinner,4,2022-03-05,64
17.59,2.64,Male,No,Sat,Dinner,3,2022-03-06,65
20.08,3.15,Male,No,Sat,Dinner,3,2022-03-07,66
16.45,2.47,Female,No,Sat,Dinner,2,2022-03-08,67
3.07,1,Female,Yes,Sat,Dinner,1,2022-03-09,68
20.23,2.01,Male,No,Sat,Dinner,2,2022-03-10,69
15.01,2.09,Male,Yes,Sat,Dinner,2,2022-03-11,70
12.02,1.97,Male,No,Sat,Dinner,2,2022-03-12,71
17.07,3,Female,No,Sat,Dinner,3,2022-03-13,72
26.86,3.14,Female,Yes,Sat,Dinner,2,2022-03-14,73
25.28,5,Female,Yes,Sat,Dinner,2,2022-03-15,74
14.73,2.2,Female,No,Sat,Dinner,2,2022-03-16,75
10.51,1.25,Male,No,Sat,Dinner,2,2022-03-17,76
17.92,3.08,Male,Yes,Sat,Dinner,2,2022-03-18,77
27.2,4,Male,No,Thur,Lunch,4,2022-03-19,78
22.76,3,Male,No,Thur,Lunch,2,2022-03-20,79
17.29,2.71,Male,No,Thur,Lunch,2,2022-03-21,80
19.44,3,Male,Yes,Thur,Lunch,2,2022-03-22,81
16.66,3.4,Male,No,Thur,Lunch,2,2022-03-23,82
10.07,1.83,Female,No,Thur,Lunch,1,2022-03-24,83
32.68,5,Male,Yes,Thur,Lunch,2,2022-03-25,84
15.98,2.03,Male,No,Thur,Lunch,2,2022-03-26,85
34.83,5.17,Female,No,Thur,Lunch,4,2022-03-27,86
13.03,2,Male,No,Thur,Lunch,2,2022-03-28,87
18.28,4,Male,No,Thur,Lunch,2,2022-03-29,88
24.71,5.85,Male,No,Thur,Lunch,2,2022-03-30,89
21.16,3,Male,No,Thur,Lunch,2,2022-03-31,90
28.97,3,Male,Yes,Fri,Dinner,2,2022-04-01,91
22.49,3.5,Male,No,Fri,Dinner,2,2022-04-02,92
5.75,1,Female,Yes,Fri,Dinner,2,2022-04-03,93
16.32,4.3,Female,Yes,Fri,Dinner,2,2022-04-04,94
22.75,3.25,Female,No,Fri,Dinner,2,2022-04-05,95
40.17,4.73,Male,Yes,Fri,Dinner,4,2022-04-06,96
27.28,4,Male,Yes,Fri,Dinner,2,2022-04-07,97
12.03,1.5,Male,Yes,Fri,Dinner,2,2022-04-08,98
21.01,3,Male,Yes,Fri,Dinner,2,2022-04-09,99
12.46,1.5,Male,No,Fri,Dinner,2,2022-04-10,100
11.35,2.5,Female,Yes,Fri,Dinner,2,2022-04-11,101
15.38,3,Female,Yes,Fri,Dinner,2,2022-04-12,102
44.3,2.5,Female,Yes,Sat,Dinner,3,2022-04-13,103
22.42,3.48,Female,Yes,Sat,Dinner,2,2022-04-14,104
